,Unnamed: 0,comments,dup_flag,extension,filename,path,size,tag,time,dup_index
128,128,,,exe,emgworks (2).exe,C:\Users\wap\Downloads\Installers,626501296,,22:25:47 10/05/18,128
129,129,,,exe,emgworks.exe,C:\Users\wap\Downloads\Installers,626501296,,20:14:40 07/18/18,129
131,131,,,exe,Git-2.19.1-64-bit.exe,C:\Users\wap\Downloads\Installers,43450544,,17:48:35 12/06/18,131
132,132,,,exe,GitHubDesktopSetup.exe,C:\Users\wap\Downloads\Installers,91441112,,20:55:16 09/04/19,132
133,133,,,exe,ICPSetup-1700f3.exe,C:\Users\wap\Downloads\Installers,243617672,,19:23:59 06/06/18,133
6,6,,,exe,arduino-1.8.9-windows.exe,C:\Users\wap\Downloads\,110737696,,16:40:18 09/02/19,6
134,134,,,exe,KDiff3-64bit-Setup_0.9.98-2.exe,C:\Users\wap\Downloads\Installers,11517943,,18:51:21 08/30/18,134
135,135,,,exe,matlab_R2018a_win64.exe,C:\Users\wap\Downloads\Installers,118582104,,17:41:54 05/16/18,135
137,137,,,exe,OCD_2.6.0.14_066093914.exe,C:\Users\wap\Downloads\Installers,122216056,,16:35:43 06/06/18,137
138,138,,,exe,octave-4.4.1-w64-installer.exe,C:\Users\wap\Downloads\Installers,249984057,,13:22:18 10/11/18,138
139,139,,,exe,OpenChoice_TekVisa_Deployment_Package_066093811 (1).exe,C:\Users\wap\Downloads\Installers,104785004,,18:01:06 06/07/18,139
140,140,,,exe,OpenChoice_TekVisa_Deployment_Package_066093811 (2).exe,C:\Users\wap\Downloads\Installers,104785004,,13:56:41 06/08/18,140
141,141,,,exe,OpenChoice_TekVisa_Deployment_Package_066093811 (3).exe,C:\Users\wap\Downloads\Installers,104785004,,14:22:06 06/08/18,141
142,142,,,exe,OpenChoice_TekVisa_Deployment_Package_066093811.exe,C:\Users\wap\Downloads\Installers,104785004,,17:12:26 06/07/18,142
144,144,,,exe,openvibe-0.16.0-svn3769-setup.exe,C:\Users\wap\Downloads\Installers,80813020,,13:45:46 04/16/18,144
145,145,,,exe,openvibe-1.2.0-setup.exe,C:\Users\wap\Downloads\Installers,87740610,,20:57:42 05/07/18,145
146,146,,,exe,openvibe-2.1.0-setup.exe,C:\Users\wap\Downloads\Installers,65761865,,16:30:00 06/05/18,146
147,147,,,exe,openvibe-2.2.0-32bit-setup.exe,C:\Users\wap\Downloads\Installers,63958904,,18:20:33 04/16/19,147
149,149,,,exe,PacketSender_v5.7.52.exe,C:\Users\wap\Downloads\Installers,17758832,,21:07:42 09/25/18,149
153,153,,,exe,qt-opensource-windows-x86-winrt-msvc2015-5.6.0.exe,C:\Users\wap\Downloads\Installers,1102179280,,12:41:48 03/15/18,153
154,154,,,exe,R2018a_Update_6.exe,C:\Users\wap\Downloads\Installers,1371079696,,20:11:42 04/12/19,154
155,155,,,exe,revosetup (1).exe,C:\Users\wap\Downloads\Installers,7197480,,17:38:53 05/16/18,155
156,156,,,exe,revosetup.exe,C:\Users\wap\Downloads\Installers,7197480,,17:38:50 05/16/18,156
157,157,,,exe,Setup_DriverDoc_2018.exe,C:\Users\wap\Downloads\Installers,11737848,,14:14:31 06/06/18,157
158,158,,,exe,SlackSetup.exe,C:\Users\wap\Downloads\Installers,84373008,,19:17:05 04/10/18,158
159,159,,,exe,SoftwarePlatformBundle_Fall2017_ENG_WB.exe,C:\Users\wap\Downloads\Installers,14331272,,19:10:14 04/06/18,159
163,163,,,exe,SourceTreeSetup-2.6.10.exe,C:\Users\wap\Downloads\Installers,19476296,,21:30:31 08/14/18,163
164,164,,,exe,SpotifySetup.exe,C:\Users\wap\Downloads\Installers,727536,,21:47:29 03/29/18,164
165,165,,,exe,TeamViewer_Setup.exe,C:\Users\wap\Downloads\Installers,22796808,,17:17:12 05/08/19,165
166,166,,,exe,TekVISA_404_066093809.exe,C:\Users\wap\Downloads\Installers,457609216,,19:22:34 06/06/18,166
167,167,,,exe,tkdpo2k.exe,C:\Users\wap\Downloads\Installers,46956576,,18:40:35 06/06/18,167
168,168,,,exe,Tkdpo2k3k4kIVIDriver1.2_0.exe,C:\Users\wap\Downloads\Installers,51179520,,17:46:04 06/07/18,168
169,169,,,exe,Tkdpo2k3k4kIVIDriver1.4.exe,C:\Users\wap\Downloads\Installers,37572320,,18:08:14 06/06/18,169
170,170,,,exe,tomighty-0.7.1-install.exe,C:\Users\wap\Downloads\Installers,386088,,13:08:56 06/05/18,170
171,171,,,exe,Trigno SDK Server Installer.exe,C:\Users\wap\Downloads\Installers,136296824,,21:43:30 07/20/18,171
172,172,,,exe,vlc-3.0.3-win64.exe,C:\Users\wap\Downloads\Installers,41465128,,14:10:22 06/28/18,172
173,173,,,exe,Wireshark-win64-3.0.2.exe,C:\Users\wap\Downloads\Installers,59287984,,14:50:32 06/18/19,173
174,174,,,exe,Zotero-5.0.55_setup.exe,C:\Users\wap\Downloads\Installers,43721840,,14:12:08 09/13/18,174
111,111,,,exe,Anaconda3-2019.03-Windows-x86_64.exe,C:\Users\wap\Downloads\Installers,693800272,,16:46:52 05/21/19,111
112,112,,,exe,Anaconda3-5.1.0-Windows-x86_64.exe,C:\Users\wap\Downloads\Installers,563168960,,12:06:03 04/20/18,112
113,113,,,exe,AnyDesk (1).exe,C:\Users\wap\Downloads\Installers,2058440,,20:12:23 05/30/18,113
114,114,,,exe,AnyDesk.exe,C:\Users\wap\Downloads\Installers,2058440,,20:00:16 05/30/18,114
115,115,,,exe,arduino-1.8.4-windows.exe,C:\Users\wap\Downloads\Installers,94767008,,12:51:09 04/06/18,115
116,116,,duplicate,exe,arduino-1.8.9-windows.exe,C:\Users\wap\Downloads\Installers,110737696,,19:55:50 05/17/19,6
117,117,,,exe,AutodeskDownloadManagerSetup.exe,C:\Users\wap\Downloads\Installers,15720912,,18:47:35 05/09/19,117
118,118,,,exe,AutodeskDownloadManager_webinstall.exe,C:\Users\wap\Downloads\Installers,494520,,18:47:28 05/09/19,118
119,119,,,exe,Autodesk_EAGLE_8.7.1_English_Win_64bit.exe,C:\Users\wap\Downloads\Installers,112880880,,19:28:39 04/10/18,119
120,120,,,exe,Autodesk_EAGLE_9.0.1_English_Win_64bit.exe,C:\Users\wap\Downloads\Installers,120390112,,14:25:20 05/14/18,120
121,121,,,exe,Autodesk_EAGLE_9.4.1_English_Win_64bit.exe,C:\Users\wap\Downloads\Installers,128854544,,19:39:37 05/23/19,121
122,122,,,exe,Autodesk_MotionBuilder_2018_64bit_wi_en-US_Setup.exe,C:\Users\wap\Downloads\Installers,12079048,,17:54:14 03/21/18,122
123,123,,,exe,Autodesk_MotionBuilder_2018_64bit_wi_en-US_Setup_webinstall.exe,C:\Users\wap\Downloads\Installers,485192,,17:53:35 03/21/18,123
126,126,,,exe,DiscordSetup.exe,C:\Users\wap\Downloads\Installers,60074328,,21:05:16 05/07/18,126
127,127,,,exe,emgworks (1).exe,C:\Users\wap\Downloads\Installers,626501296,,20:00:55 08/22/18,127
